title,NER,ingredients
Watermelon Rind Pickles,"[""oil"", ""sugar"", ""oil of cinnamon"", ""apple vinegar"", ""watermelon rind""]","[""7 lb. watermelon rind"", ""7 c. sugar"", ""2 c. apple vinegar"", ""1/2 tsp. oil of cloves"", ""1/2 tsp. oil of cinnamon""]"
Chicken Stew,"[""potatoes"", ""peas"", ""corn"", ""sugar"", ""tomatoes"", ""macaroni"", ""black pepper"", ""butter beans"", ""english peas"", ""onions"", ""tomato juice"", ""chicken"", ""salt""]","[""3 lb. chicken"", ""boiled"", ""4 medium potatoes"", ""diced"", ""2 medium onions"", ""chopped"", ""1 (16 oz.) can creamed corn"", ""1 (16 oz.) can English peas"", ""1 (16 oz.) can field peas"", ""1 (16 oz.) can butter beans"", ""1 (16 oz.) can tomatoes"", ""1 (46 oz.) can tomato juice"", ""1 small box macaroni"", ""1 Tbsp. black pepper"", ""1 Tbsp. salt"", ""1 Tbsp. sugar""]"
Chicken Divan,"[""curry powder"", ""onion"", ""mushrooms"", ""celery"", ""flour"", ""margarine"", ""cream of celery soup"", ""broccoli"", ""cheese"", ""chicken""]","[""1/4 c. margarine"", ""1/4 c. chopped onion (or as much as you want)"", ""chopped celery to taste"", ""1/4 c. flour"", ""1/8 tsp. curry powder"", ""1 can sliced mushrooms (save juice)"", ""1 can cream of celery soup"", ""1 pkg. chopped broccoli"", ""1 cubed chicken"", ""shredded Monterey Jack cheese""]"
Vegetable-Burger Soup,"[""frozen mixed vegetables"", ""sugar"", ""tomatoes"", ""onion soup"", ""water"", ""ground beef"", ""tomato sauce""]","[""1/2 lb. ground beef"", ""2 c. water"", ""1 tsp. sugar"", ""1 pkg. Cup-a-Soup onion soup mix (dry)"", ""1 lb. can stewed tomatoes"", ""1 (8 oz.) can tomato sauce"", ""1 (10 oz.) pkg. frozen mixed vegetables""]"
Chicken Ole,"[""green chilies"", ""cream of chicken soup"", ""green chili salsa sauce"", ""chicken breasts"", ""cream of mushroom soup"", ""onion"", ""corn tortilla"", ""milk""]","[""4 chicken breasts"", ""cooked"", ""1 can cream of chicken soup"", ""1 can cream of mushroom soup"", ""1 can green chili salsa sauce"", ""1 can green chilies"", ""1 c. milk"", ""1 grated onion"", ""1 pkg. corn tortilla in pieces""]"
Creole Flounder,"[""tomatoes"", ""lemon juice"", ""salad oil"", ""onion"", ""drops red pepper sauce"", ""basil"", ""ground black pepper"", ""flounder"", ""green pepper"", ""salt""]","[""2 lb. flounder or pollack fillets"", ""1 1/2 c. chopped tomatoes"", ""1/2 c. chopped green pepper"", ""1/3 c. lemon juice"", ""1 Tbsp. salad oil"", ""2 tsp. salt"", ""2 tsp. minced onion"", ""1 tsp. basil leaves"", ""1/4 tsp. coarsely ground black pepper"", ""4 drops red pepper sauce"", ""green pepper rings""]"
Three Bean Salad,"[""kidney beans"", ""vinegar"", ""sugar"", ""salad oil"", ""water"", ""green beans"", ""yellow beans""]","[""1 can green beans"", ""wash and drain"", ""1 can yellow beans"", ""wash and drain"", ""1 can kidney beans"", ""wash and drain"", ""1 c. sugar"", ""1/2 c. salad oil"", ""2/3 c. vinegar"", ""1/3 c. water""]"
Casserole Italiano,"[""oregano"", ""noodles"", ""onion"", ""tomato soup"", ""water"", ""cheese"", ""ground beef"", ""salt""]","[""1 lb. ground beef"", ""1/3 c. chopped onion"", ""1 can tomato soup"", ""2 c. cooked wide noodles"", ""1/2 tsp. oregano"", ""1/2 tsp. salt"", ""1/3 c. water"", ""1 c. cheese""]"
Forever Amber,"[""condensed milk"", ""vanilla"", ""pecans"", ""angel"", ""orange flavoring"", ""orange sliced candy""]","[""1 lb. orange sliced candy"", ""chopped"", ""2 cans Angel Flake coconut"", ""2 c. chopped pecans"", ""2 cans condensed milk"", ""1 tsp. vanilla"", ""1 tsp. orange flavoring""]"
Chicken Casserole,"[""cream of chicken soup"", ""cream of mushroom soup"", ""cream of celery soup"", ""rice"", ""butter"", ""chicken""]","[""1 can cream of mushroom soup"", ""1 can cream of chicken soup"", ""1 can cream of celery soup"", ""1 cut up chicken"", ""1/2 c. melted butter or margarine"", ""1 1/2 c. uncooked rice""]"
Potato Casserole,"[""potatoes"", ""cream of chicken soup"", ""sour cream"", ""cheddar cheese"", ""onion"", ""cornflakes"", ""butter""]","[""6 c. diced potatoes"", ""1/2 c. chopped onion"", ""3/4 c. melted butter"", ""1 can cream of chicken soup"", ""1 (8 oz.) sour cream"", ""1 c. grated Cheddar cheese"", ""2 c. crushed cornflakes""]"
Consomme Chicken,"[""cream of chicken soup"", ""pepper"", ""rice"", ""consomme"", ""chicken"", ""salt""]","[""chicken parts"", ""1 can cream of chicken soup"", ""1 can consomme"", ""2 c. rice"", ""salt to taste"", ""pepper to taste""]"
Spanish Hamburgers,"[""vinegar"", ""pepper"", ""lemon juice"", ""brown sugar"", ""water"", ""celery"", ""catsup"", ""onions"", ""ground beef"", ""mustard"", ""butter"", ""salt""]","[""1/2 c. celery"", ""2 chopped onions"", ""2 Tbsp. butter"", ""1 lb. ground beef"", ""2 Tbsp. vinegar"", ""2 Tbsp. lemon juice"", ""2 Tbsp. brown sugar"", ""1 1/2 Tbsp. mustard"", ""1 tsp. salt"", ""1 1/2 tsp. pepper"", ""1 c. catsup"", ""1 c. water""]"
Mulled Cider,"[""brown sugar"", ""cinnamon"", ""apple juice"", ""whole cloves"", ""allspice""]","[""1/2 gal. apple juice"", ""1 tsp. allspice"", ""1 tsp. whole cloves"", ""1 cinnamon stick"", ""1 c. brown sugar""]"
Sesame Ginger Chicken,"[""sesame seed"", ""soy sauce"", ""honey"", ""vegetable cooking spray"", ""thin green onion strips"", ""grated ginger"", ""chicken""]","[""1 Tbsp. sesame seed"", ""toasted"", ""2 tsp. grated ginger"", ""2 Tbsp. honey"", ""2 Tbsp. reduced-sodium soy sauce"", ""4 (4 oz.) skinned chicken breast halves"", ""vegetable cooking spray"", ""thin green onion strips""]"
Egg Casserole,"[""bread"", ""green peppers"", ""eggs"", ""fresh mushrooms"", ""clove garlic"", ""vidalia onion"", ""milk"", ""olive oil""]","[""1 Vidalia onion"", ""chopped"", ""1 (16 oz.) pkg. fresh mushrooms"", ""2 green peppers"", ""1 clove garlic"", ""olive oil"", ""6 pieces bread (buttered with either butter or margarine)"", ""6 eggs"", ""milk (as much as you would like; to fluff eggs)""]"
Brown Rice,"[""onion soup"", ""beef consomme"", ""mushrooms"", ""margarine"", ""rice""]","[""1 c. raw rice"", ""1 can beef consomme"", ""1 can French onion soup"", ""1 (4 oz.) can mushrooms"", ""1/2 stick margarine"", ""cut up""]"
Cranberry Salad,"[""sugar"", ""cream cheese"", ""margarine"", ""walnuts"", ""cranberry sauce"", ""whipping cream"", ""pineapple""]","[""2 (3 oz.) pkg. softened cream cheese"", ""2 Tbsp. margarine"", ""2 Tbsp. sugar"", ""1 (16 oz.) can whole berry cranberry sauce"", ""3/4 c. crushed pineapple"", ""drained"", ""1/2 c. chopped walnuts"", ""1 c. whipping cream""]"
Squash Casserole,"[""sour cream"", ""stuffing mix"", ""squash"", ""onions"", ""carrots"", ""butter"", ""chicken"", ""salt""]","[""3 lb. squash"", ""3 onions"", ""1 pt. sour cream"", ""3 carrots"", ""grated"", ""2 cans chicken or mushroom soup"", ""1 pkg. Pepperidge Farm stuffing mix"", ""1 stick butter"", ""salt and pepper to taste""]"
Beef And Spanish Rice Casserole,"[""cheddar cheese"", ""corned beef"", ""onion"", ""spanish rice""]","[""1 can Spanish rice"", ""1 can corned beef"", ""1 diced onion"", ""1/2 c. grated Cheddar cheese""]"
Baked Beans,"[""oil"", ""bell pepper"", ""black pepper"", ""brown sugar"", ""catsup"", ""pork"", ""onions"", ""ground beef"", ""salt""]","[""3 (1 lb.) cans pork and beans"", ""1/2 c. bell pepper"", ""chopped"", ""1/2 c. onions"", ""chopped"", ""3/4 c. catsup"", ""1/3 c. brown sugar"", ""packed hard"", ""1 tsp. salt"", ""1/3 tsp. black pepper"", ""1 lb. ground beef"", ""1 Tbsp. oil""]"
German Potato Salad,"[""potatoes"", ""bacon"", ""sugar"", ""pepper"", ""green onions"", ""water"", ""flour"", ""cider vinegar"", ""salt""]","[""4 lb. potatoes"", ""cooked"", ""6 slices bacon"", ""diced"", ""1/2 c. sugar"", ""3 Tbsp. flour"", ""2 tsp. salt"", ""1/4 tsp. pepper"", ""1 c. cider vinegar"", ""1 c. water"", ""4 green onions"", ""sliced""]"
Jan'S Winter Soup,"[""potatoes"", ""tomatoes"", ""celery"", ""frozen green beans"", ""clove garlic"", ""basil"", ""thyme"", ""onions"", ""carrots"", ""red wine"", ""ground beef"", ""beef"", ""butter"", ""salt""]","[""2 Tbsp. butter"", ""2 medium onions"", ""chopped"", ""1 lb. ground beef or turkey"", ""1 clove garlic"", ""minced"", ""3 c. beef or chicken broth"", ""1 (28 oz.) can tomatoes"", ""chopped"", ""1 c. diced potatoes"", ""3 carrots"", ""chopped"", ""1 c. celery"", ""chopped"", ""1 c. frozen green beans"", ""1 c. dry red wine"", ""1/2 tsp. basil"", ""1/4 tsp. thyme"", ""salt and pepper to taste""]"
Don Juan'S Sangria,"[""apple"", ""sugar"", ""red spanish"", ""orange"", ""triple sec"", ""club soda"", ""brandy"", ""lime""]","[""1 lime"", ""cut into wedges"", ""1 orange"", ""cut into slices"", ""1/2 large apple"", ""cut into thin wedges"", ""1/2 to 3/4 c. sugar"", ""1 bottle dry red Spanish wine"", ""1/4 c. brandy"", ""1/4 c. Triple Sec"", ""club soda""]"
Ranch Beef And Beans,"[""green chilies"", ""kidney beans"", ""bell pepper"", ""garlic"", ""onion"", ""butter beans"", ""mustard"", ""water"", ""beans"", ""ketchup"", ""beef bouillon"", ""hamburger"", ""honey"", ""worcestershire sauce""]","[""1 lb. cooked"", ""crumbled hamburger (drained)"", ""1 c. onion"", ""chopped"", ""1 c. kidney beans"", ""cooked and drained"", ""1 c. butter beans"", ""1 c. baked beans"", ""3/4 c. ketchup"", ""1 sm. can mild green chilies"", ""chopped (opt.)"", ""1 TBSP prepared mustard"", ""1 tsp. beef bouillon"", ""1/2 c. water"", ""2 TBSP. honey"", ""2/3 c. bell pepper"", ""chopped"", ""1 tsp. Worcestershire sauce"", ""1/2 tsp. garlic pwd""]"
Pasta Chicken Salad(268 Calories Per Serving)  ,"[""milk"", ""green onions"", ""fresh mushrooms"", ""italian salad dressing"", ""broccoli flowerets"", ""carrots"", ""cauliflower"", ""shells"", ""chicken"", ""salt""]","[""3 1/2 c. (8 oz.) large shells (uncooked)"", ""2 c. cubed"", ""cooked chicken (light meat)"", ""2 c. fresh"", ""raw broccoli flowerets"", ""2 c. fresh"", ""raw cauliflower"", ""1 c. sliced carrots"", ""1 c. sliced green onions"", ""1/2 lb. fresh mushrooms"", ""sliced"", ""1 c. (8 oz. bottle) reduced calorie creamy Italian salad dressing"", ""3/4 c. skim milk"", ""salt and pepper to taste""]"
Zucchini-Artichoke Continental,"[""tomatoes"", ""frozen artichoke"", ""parmesan cheese"", ""green onion"", ""fresh mushrooms"", ""water"", ""margarine"", ""garlic"", ""zucchini""]","[""1 (9 oz.) pkg. frozen artichoke hearts"", ""2 Tbsp. water"", ""3 medium zucchini (1 lb.)"", ""sliced 1/4-inch thick (4 c.)"", ""2 c. fresh mushrooms"", ""halved"", ""2 Tbsp. finely chopped green onion"", ""2 cloves garlic"", ""minced"", ""1 Tbsp. margarine or butter"", ""2 medium tomatoes"", ""cut into wedges and seeded"", ""1/4 c. grated Parmesan cheese""]"
Supreme Beef Casserole,"[""sour cream"", ""sugar"", ""tomatoes"", ""shortening"", ""green onions"", ""egg noodles"", ""cream cheese"", ""ground chuck"", ""grated cheese"", ""tomato sauce"", ""garlic"", ""salt""]","[""1 lb. ground chuck"", ""1 tsp. shortening"", ""1 (16 oz.) can tomatoes"", ""1 (8 oz.) can tomato sauce"", ""2 tsp. salt"", ""2 tsp. sugar"", ""2 garlic cloves"", ""crushed"", ""1 (5 oz.) pkg. egg noodles"", ""1 c. sour cream"", ""1 (3 oz.) pkg. cream cheese"", ""6 green onions or scallions"", ""chopped (with tops)"", ""1 c. grated cheese""]"
Chicken Salad,"[""pepper"", ""lemon juice"", ""water chestnuts"", ""curry powder"", ""white grapes"", ""celery"", ""chunk white chicken"", ""nonfat mayonnaise"", ""almonds"", ""salt""]","[""1 (12.5 oz.) can chunk white chicken"", ""2 c. chopped celery"", ""1 small pkg. slivered almonds"", ""1 c. water chestnuts"", ""1 c. white grapes"", ""1/2 tsp. salt"", ""1/8 tsp. pepper"", ""1 tsp. lemon juice"", ""curry powder to caste"", ""nonfat mayonnaise""]"
Cold Spaghetti Salad,"[""bell pepper"", ""vermicelli"", ""purple onion"", ""salad supreme seasoning"", ""zucchini""]","[""1 lb. vermicelli"", ""1 lb. fine chopped bell pepper"", ""2 small zucchini"", ""finely chopped"", ""1 large purple onion"", ""sliced thin"", ""1 large bottle Bernstien Italian dressing"", ""1/2 to 3/4 jar Schilling Salad Supreme seasoning""]"
Cucumber Salad With Dill,"[""sugar"", ""cucumbers"", ""onion"", ""white vinegar"", ""dill"", ""salt""]","[""2 cucumbers"", ""sliced very thin"", ""1/3 c. white vinegar"", ""1 tsp. salt"", ""3 Tbsp. sugar"", ""1 large onion"", ""sliced thin"", ""fresh dill""]"
Chicken Spaghetti,"[""spaghetti"", ""cream of chicken soup"", ""tomatoes"", ""cream of mushroom soup"", ""your choice"", ""steak seasoning"", ""chicken""]","[""1 (13 oz.) can cooked chicken"", ""1 (10 oz.) can cream of mushroom soup"", ""1 (10 oz.) can cream of chicken soup"", ""1 (10 oz.) can Rotel tomatoes"", ""1 to 2 c. cheese of your choice"", ""1 (16 oz.) pkg. spaghetti"", ""1 Tbsp. steak seasoning""]"
Pistachio Salad,"[""marshmallows"", ""pistachio pie filling"", ""pineapple""]","[""pistachio pie filling (instant)"", ""1 can crushed pineapple"", ""1 c. miniature marshmallows"", ""1/2 container Cool Whip (small)""]"
St. Joseph'S Zeppole,"[""sugar"", ""eggs"", ""water"", ""flour"", ""butter""]","[""1 c. water"", ""1/2 c. butter"", ""1 tsp. sugar"", ""1 c. all-purpose flour"", ""4 large eggs""]"
French Onion Soup,"[""beef stock"", ""bay leaf"", ""black pepper"", ""garlic salt"", ""onions"", ""chicken stock"", ""butter"", ""worcestershire sauce"", ""salt""]","[""1/4 lb. butter"", ""2 1/2 lb. onions"", ""sliced"", ""1 qt. beef stock (3 cans Campbell's beef stock)"", ""1 qt. chicken stock (3 cans Campbell's chicken stock)"", ""2 Tbsp. Worcestershire sauce"", ""1 bay leaf"", ""1 1/2 tsp. garlic salt"", ""1 tsp. black pepper (you may wish to use less)"", ""salt to taste (you may not want any)""]"
Tater Tot Casserole,"[""cream of chicken soup"", ""tater"", ""bell pepper"", ""cream of mushroom soup"", ""onion"", ""cream of celery soup"", ""grated cheese"", ""ground beef""]","[""1 (32 oz.) bag Tater Tots"", ""2 lb. ground beef"", ""1 chopped onion"", ""1 chopped bell pepper"", ""1 can cream of mushroom soup"", ""1 can cream of celery soup"", ""1 can cream of chicken soup"", ""grated cheese""]"
Vegetable Soup,"[""potato"", ""macaroni"", ""italian seasoning"", ""onion"", ""green sweet peppers"", ""celery"", ""ground turkey"", ""carrots"", ""beans"", ""tomato juice"", ""sweet peas"", ""bay leaf""]","[""1 medium onion"", ""diced"", ""1 potato"", ""diced"", ""1 1/2 green sweet peppers"", ""diced"", ""1/2 c. diced celery"", ""1 c. diced carrots"", ""1 c. small macaroni"", ""cooked"", ""1 1/2 lb. ground turkey or beef"", ""14 oz. can French green beans"", ""1 large bay leaf"", ""1 tsp. Italian seasoning"", ""1 c. sweet peas"", ""1 can tomato juice""]"
Baked French Toast,"[""sugar"", ""vanilla"", ""eggs"", ""ground nutmeg"", ""orange juice"", ""cream""]","[""5 large eggs"", ""slightly beaten"", ""1/4 c. sugar"", ""1/4 tsp. ground nutmeg"", ""2/3 c. orange juice"", ""1/3 c. half and half cream"", ""1/2 tsp. vanilla""]"
Tamale Casserole,"[""green chilies"", ""yellow hominy"", ""cheddar cheese"", ""onions"", ""tamales"", ""olives""]","[""1 (16 oz.) can yellow hominy"", ""1 (4 oz.) can chopped olives"", ""1 (4 oz.) can mild green chilies"", ""2 (16 oz.) cans tamales"", ""2 c. shredded mild Cheddar cheese"", ""1/4 c. dried chopped onions""]"
Smoked Turkey Risotto,"[""olive"", ""spinach"", ""oregano"", ""black pepper"", ""green onions"", ""arborio"", ""parmesan cheese"", ""clove garlic"", ""chicken"", ""salt""]","[""3 c. chicken stock or vegetable stock"", ""1 pkg. (10 oz.) frozen artichoke hearts"", ""2 t. olive or canola oil"", ""3 green onions"", ""including tops"", ""sliced (1/3 c.)"", ""1 clove garlic"", ""minced"", ""1 c. arborio"", ""basmati"", ""or long-grain"", ""white rice"", ""1/2 t. dried oregano"", ""crumbled"", ""1/2 t. salt"", ""1/4 t. black pepper"", ""4 oz. spinach"", ""rinsed"", ""trimmed and thinly sliced (2 c.)"", ""3 T. grated parmesan cheese""]"
Eggplant Spaghetti Sauce,"[""oil"", ""oregano"", ""red"", ""fresh parsley"", ""marjoram"", ""mushrooms"", ""italian tomatoes"", ""rosemary"", ""basil"", ""thyme"", ""onions"", ""eggplant"", ""cauliflower"", ""garlic"", ""bay leaf"", ""green pepper"", ""salt""]","[""1/2 c. oil (I use olive oil"", ""extra light)"", ""1 large eggplant"", ""unpeeled and chopped"", ""2 medium onions chopped"", ""1/2 head cauliflower"", ""chopped"", ""1 green pepper"", ""chopped"", ""1/2 c. fresh parsley (flat Italian)"", ""chopped"", ""1/4 lb. mushrooms"", ""sliced"", ""8 cloves garlic"", ""minced or mashed"", ""2 very large cans Italian tomatoes"", ""1 bay leaf"", ""1 tsp. dried basil"", ""1 tsp. oregano"", ""1 tsp. thyme"", ""1/2 tsp. marjoram"", ""1/2 tsp. rosemary"", ""1/2 tsp. salt"", ""optional"", ""1 c. dry red or white wine""]"
Chicken Breasts With Wild Rice,"[""condensed cream"", ""chicken breasts"", ""onion soup"", ""cornflake crumbs"", ""mushrooms"", ""water"", ""wild rice"", ""butter""]","[""1 3/4 c. quick cooking long grain and wild rice or plain rice"", ""1 (10 3/4 oz.) can condensed cream of mushroom or chicken soup (undiluted)"", ""1 (10 3/4 oz.) can French onion soup (undiluted)"", ""2 1/2 oz. jar sliced mushrooms (undrained)"", ""1/2 c. water"", ""4 chicken breasts"", ""2 Tbsp. melted butter or margarine"", ""1/4 c. cornflake crumbs or cracker crumbs""]"
Creole Green Beans,"[""sugar"", ""tomatoes"", ""onion"", ""green pepper"", ""flour"", ""green peas"", ""paprika"", ""bacon drippings"", ""salt""]","[""1 green pepper"", ""chopped"", ""1 onion"", ""chopped"", ""2 Tbsp. bacon drippings"", ""1 Tbsp. flour"", ""1 tsp. salt"", ""1 tsp. sugar"", ""dash of paprika"", ""1 (16 oz.) can tomatoes"", ""1 (16 oz.) can green peas""]"
Lasagne,"[""ricotta cheese"", ""mozzarella cheese"", ""lasagne noodles"", ""lean hamburger""]","[""1 lb. lean hamburger"", ""1 jar Ragu spaghetti sauce (plain)"", ""1 small container Ricotta cheese"", ""1 pkg. lasagne noodles (approximately 8 noodles)"", ""1 large bag preshredded Mozzarella cheese""]"
Bullets,"[""flour"", ""ground beef"", ""salt""]","[""ground beef"", ""flour"", ""salt and pepper to taste""]"
Pizza Casserole,"[""biscuit mix"", ""mozzarella cheese"", ""eggs"", ""mushrooms"", ""sauce"", ""milk"", ""ground beef""]","[""1 lb. ground beef"", ""14 oz. Pizza Quick sauce"", ""2 c. shredded Mozzarella cheese"", ""1 jar sliced mushrooms"", ""3/4 c. biscuit mix"", ""1 1/2 c. milk"", ""2 eggs""]"
Broccoli Casserole,"[""egg"", ""onion"", ""mushroom soup"", ""mayonnaise"", ""broccoli"", ""salt""]","[""1 pkg. frozen chopped broccoli"", ""1/2 c. mushroom soup"", ""1/2 c. mayonnaise"", ""1 beaten egg"", ""1 small onion"", ""chopped"", ""salt and pepper""]"
Chinese Hamburger,"[""oil"", ""cream of chicken soup"", ""pepper"", ""soy sauce"", ""noodles"", ""cream of mushroom soup"", ""onion"", ""water"", ""celery"", ""rice"", ""hamburger""]","[""1 lb. hamburger"", ""2 Tbsp. oil"", ""1 onion"", ""chopped"", ""1 celery rib"", ""chopped"", ""1 c. cooked rice"", ""1 can cream of mushroom soup"", ""1 can cream of chicken soup"", ""1 1/2 c. warm water"", ""1/4 c. soy sauce"", ""1/4 tsp. pepper"", ""1 can chow mein noodles""]"
Hungarian-Stuffed Peppers,"[""egg"", ""peppers"", ""onion"", ""garlic powder"", ""rice"", ""ground beef"", ""salt""]","[""4 large peppers"", ""1 large can V-8"", ""1 onion"", ""chopped"", ""1/2 tsp. garlic powder"", ""1 lb. ground beef"", ""1/2 c. rice"", ""1 egg"", ""salt to taste""]"
Egg Cheese Souffle,"[""pepper"", ""croutons"", ""eggs"", ""onion powder"", ""milk"", ""mustard"", ""salt""]","[""4 eggs"", ""2 c. milk"", ""1/2 tsp. mustard"", ""1/2 tsp. salt"", ""1/8 tsp. onion powder"", ""dash of pepper"", ""2 c. croutons (cheese)"", ""1 c. grated Velveeta""]"
Homemade Noodles,"[""flour"", ""eggs"", ""water""]","[""3 c. flour"", ""3 eggs"", ""1/2 c. water""]"
Cranberry Scones,"[""butter"", ""confectioners sugar""]","[""1/2 c. (1 stick) softened butter or margarine"", ""2 Tbsp. confectioners sugar"", ""1 tsp. grated orange peel""]"
Chantilly Low-Fat,"[""heavy cream"", ""nonfat plain yogurt"", ""mandarin juice""]","[""1 c. nonfat plain yogurt"", ""1/2 c. heavy cream"", ""1 c. mandarin juice""]"
Egg Custard,"[""sugar"", ""vanilla"", ""pie shell"", ""eggs"", ""cornstarch"", ""milk"", ""ground cinnamon""]","[""2 c. sugar"", ""5 eggs"", ""2 c. milk"", ""2 Tbsp. cornstarch"", ""2 1/2 tsp. vanilla"", ""ground cinnamon"", ""1 pie shell""]"
Chicken Giblet Gravy,"[""eggs"", ""water"", ""flour"", ""chicken broth"", ""chicken"", ""salt""]","[""4 to 5 c. chicken broth"", ""3 boiled eggs"", ""chopped"", ""1 c. chopped chicken"", ""salt and pepper to taste"", ""3 Tbsp. flour (self-rising)"", ""2 Tbsp. water""]"
Beef Brisket,"[""pepper"", ""horseradish"", ""onion"", ""water"", ""catsup"", ""cider vinegar"", ""beef brisket"", ""mustard"", ""salt""]","[""4 lb. beef brisket"", ""1 c. catsup"", ""1 c. water"", ""1/2 onion"", ""minced"", ""2 Tbsp. cider vinegar"", ""1 Tbsp. prepared horseradish"", ""1 Tbsp. prepared mustard"", ""1 tsp. salt"", ""1/2 tsp. pepper""]"
Marinated Pork Roast,"[""ginger"", ""soy sauce"", ""pork roast"", ""thyme"", ""sherry"", ""garlic"", ""mustard""]","[""1 (4 to 5 lb.) rolled pork roast"", ""1/2 c. sherry"", ""1 Tbsp. dry mustard"", ""1 tsp. thyme"", ""1/2 c. soy sauce"", ""2 minced garlic cloves"", ""1 tsp. ginger""]"
Leroy'S Heavenly Hash,"[""no"", ""marshmallows"", ""bananas"", ""pecan pieces"", ""pineapple""]","[""No. 2 can fruit cocktail"", ""4 bananas"", ""cut up"", ""1 small bag miniature marshmallows"", ""1 (8 oz.) pkg. pecan pieces"", ""1 pt. Cool Whip"", ""1 small can crushed pineapple""]"
Mixed Vegetable Casserole,"[""water chestnuts"", ""onion"", ""margarine"", ""mayonnaise"", ""veg-all"", ""grated cheese"", ""roll""]","[""1 can Veg-All"", ""drained"", ""1/2 c. chopped onion"", ""1/2 c. water chestnuts"", ""sliced"", ""1/2 c. grated cheese (Cheddar)"", ""1/3 c. plus 2 level Tbsp. mayonnaise"", ""1/2 roll Ritz crackers"", ""crushed"", ""1/2 stick margarine""]"
Cheeseburger Crescent Bake(1 Hour)  ,"[""egg"", ""pepper"", ""lemon juice"", ""onion"", ""shredded cheese"", ""garlic powder"", ""paprika"", ""ground beef"", ""crescent rolls"", ""worcestershire sauce"", ""salt""]","[""1 lb. ground beef"", ""1 (8 oz.) pkg. crescent rolls"", ""1/8 c. chopped onion"", ""1 tsp. Worcestershire sauce"", ""1 tsp. lemon juice"", ""1/2 tsp. paprika"", ""1/4 tsp. garlic powder"", ""1/2 tsp. salt"", ""1/8 tsp. pepper"", ""2 c. shredded cheese"", ""1 beaten egg""]"
