Disease,Best_Foods,Worst_Foods,Best_Nutrition,Worst_Nutrition
nuclear type mitochondrial complex I deficiency 11,"['basil', 'bread crumbs', 'mushrooms']","['chicken gravy', 'parmesan cheese']","['high vitamin c', 'low cholesterol', 'low total fats']","['high sodium', 'low iron', 'low magnesium']"
congenital disorder of glycosylation Iw,"['onion', 'potatoes']","['butter', 'cinnamon', 'eggs']","['high magnesium', 'low sodium']","['high carbohydrate', 'high cholesterol']"
thyroid adenoma,"['tomatoes', 'vegetable soup mix']","['cream cheese', 'green onions', 'tuna']","['high potassium', 'low cholesterol']","['low calcium', 'low magnesium', 'low vitamin c']"
thyroid dyshormonogenesis 1,"['eggs', 'veal']","['celery', 'onion', 'tomato sauce']","['high magnesium', 'low calories']","['high cholesterol', 'low fiber']"
neonatal myasthenia gravis,"['ham', 'progresso pepper', 'sandwich pepperoni']","['catsup', 'pepper']","['high iron', 'high magnesium', 'high vitamin c']","['high sodium', 'high total fats']"
atypical teratoid rhabdoid tumor,"['cumin', 'salt']","['chicken breasts', 'rice wine']","['low carbohydrate', 'low sodium', 'low total fats']","['low iron', 'low magnesium', 'low vitamin c']"
mixed oligodendroglioma-astrocytoma,"['cream of chicken soup', 'frozen broccoli', 'water']","['frozen peas', 'salt']","['low calories', 'low total fats']","['high cholesterol', 'low potassium', 'low protein']"
orofacial cleft 12,"['peanut butter', 'pecans', 'pretzels']","['salt', 'water']","['high magnesium', 'low calories', 'low sodium']","['high carbohydrate', 'high total fats', 'low calcium']"
abacavir allergy,"['pepper', 'soy sauce', 'worcestershire sauce']","['baking potatoes', 'mushrooms', 'zucchini']","['high vitamin c', 'low cholesterol']","['high total fats', 'low iron', 'low protein']"
pleuropneumonia,"['mustard', 'salad dressing', 'sweet relish']","['chicken livers', 'pepper']","['high vitamin c', 'low cholesterol', 'low sodium']","['high total fats', 'low protein']"
type 1 diabetes mellitus 10,"['cheese', 'eggs', 'worcestershire']","['basil', 'italian salad dressing', 'pepper']","['high iron', 'low total fats']","['high sodium', 'low fiber']"
spondyloepiphyseal dysplasia tarda with characteristic facies,"['lemon juice', 'margarine']","['cooking fat', 'rabbit', 'salt']","['low carbohydrate', 'low cholesterol', 'low total fats']","['low iron', 'low potassium']"
meningioma,"['ground meat', 'onions']","['ground beef', 'water']","['high protein', 'low carbohydrate']","['high total fats', 'low vitamin c']"
amelogenesis imperfecta type 3B,"['chicken', 'onion', 'plain yogurt']","['butter', 'pork chops', 'water']","['high magnesium', 'low carbohydrate']","['high cholesterol', 'low iron', 'low vitamin c']"
autosomal recessive nonsyndromic deafness 109,"['chicken breasts', 'water']","['lemon wedges', 'loin', 'thyme']","['low calories', 'low cholesterol', 'low total fats']","['low calcium', 'low iron', 'low protein']"
"intellectual developmental disorder with autistic features and language delay, with or without seizures","['ginger root', 'mustard']","['conchiglioni shells', 'parmesan cheese', 'ricotta cheese']","['high fiber', 'low cholesterol', 'low total fats']","['high calories', 'low magnesium', 'low vitamin c']"
small intestine leiomyoma,"['green pepper', 'mozzarella cheese', 'onion']","['margarine', 'onion', 'salt']","['high potassium', 'high protein']","['high sodium', 'low iron']"
gliosarcoma,"['butter', 'red']","['chocolate chips', 'oatmeal', 'vanilla']","['high iron', 'low sodium']","['high total fats', 'low fiber', 'low vitamin c']"
lipid-cell variant infiltrating bladder urothelial carcinoma,"['cream of celery soup', 'cream of shrimp soup', 'onions']","['apples', 'brown sugar', 'frankfurters']","['high calcium', 'low cholesterol', 'low total fats']","['high sodium', 'low vitamin c']"
familial cold autoinflammatory syndrome 4,"['flour', 'salt']","['chicken', 'pepper']","['high protein', 'high vitamin c', 'low calories']","['high sodium', 'low fiber', 'low magnesium']"
oculopharyngodistal myopathy 1,"['milk', 'sour cream']","['garlic salt', 'mushrooms', 'vegetable oil']","['low calories', 'low cholesterol']","['low magnesium', 'low potassium', 'low vitamin c']"
protozoal dysentery,"['cream of mushroom soup', 'margarine', 'ro-tel tomatoes']","['chicken thighs', 'italian salad dressing']","['high fiber', 'high iron', 'high protein']","['high total fats', 'low calcium']"
mitochondrial complex V (ATP synthase) deficiency nuclear type 7,"['linguine', 'potato']","['carrots', 'potatoes', 'water']","['high iron', 'low cholesterol']","['high carbohydrate', 'low potassium']"
hypoparathyroidism,"['chili mix', 'fresh mushrooms']","['beans', 'brown sugar', 'vinegar']","['high calcium', 'high protein', 'high vitamin c']","['high sodium', 'high total fats']"
neuronal ceroid lipofuscinosis 8,"['bread crumbs', 'parsley']","['black olives', 'italian dressing', 'salad supreme']","['high fiber', 'high iron', 'low sodium']","['high cholesterol', 'low calcium', 'low protein']"
mature T-cell and NK-cell lymphoma,"['cabbage', 'mushrooms', 'onion']","['margarine', 'ro-tel tomatoes', 'water']","['low carbohydrate', 'low sodium']","['high total fats', 'low fiber', 'low potassium']"
type 1 diabetes mellitus 22,"['eggs', 'miracle', 'tuna']","['parmesan cheese', 'torn romaine lettuce']","['high magnesium', 'low total fats']","['low potassium', 'low vitamin c']"
angioedema,"['cauliflower', 'tomato paste', 'water']","['bacon', 'flowers with', 'large red']","['high iron', 'low calories']","['high cholesterol', 'high total fats', 'low calcium']"
congenital fibrosis of the extraocular muscles 5,"['noodles', 'ricotta cheese', 'spaghetti sauce']","['chopped spinach', 'eggs', 'ricotta cheese']","['high calcium', 'high potassium', 'low total fats']","['low fiber', 'low iron', 'low protein']"
sporotrichosis,"['bread crumbs', 'onion']","['milk', 'potatoes']","['high potassium', 'high vitamin c', 'low cholesterol']","['high total fats', 'low iron', 'low protein']"
chronic gonorrhea of cervix,"['corn flakes', 'hot sauce', 'vegetable cooking spray']","['bay leaves', 'kielbasa', 'salt']","['high fiber', 'low sodium']","['high calories', 'high carbohydrate', 'high cholesterol']"
hypogonadotropic hypogonadism 1 with or without anosmia,"['bread crumbs', 'onion']","['green pepper', 'onion']","['high fiber', 'high magnesium', 'low total fats']","['high sodium', 'low calcium', 'low protein']"
prostate adenocarcinoma,"['milk', 'peaches', 'sugar']","['dill weed', 'garlic powder', 'salad oil']","['high magnesium', 'high potassium', 'high vitamin c']","['high carbohydrate', 'high sodium', 'low fiber']"
balloon cell malignant melanoma,"['dill pickles', 'salt']","['anchovies', 'garlic']","['high fiber', 'low sodium']","['low calcium', 'low magnesium', 'low protein']"
CREST syndrome,"['egg', 'onion']","['bacon', 'onion']","['high fiber', 'high iron', 'low cholesterol']","['low calcium', 'low magnesium']"
Takayasu's arteritis,"['hotdogs', 'parmesan cheese']","['butter', 'celery', 'salt']","['high potassium', 'high protein', 'low sodium']","['low fiber', 'low magnesium', 'low vitamin c']"
developmental and epileptic encephalopathy 17,"['butter', 'carrots', 'salt']","['bread', 'butter', 'dry mustard']","['high fiber', 'high protein']","['high cholesterol', 'low iron']"
cranioectodermal dysplasia,"['mustard', 'parmesan cheese', 'tomatoes']","['onion', 'peppers', 'tomatoes']","['high calcium', 'high iron']","['high calories', 'high sodium']"
congenital muscular dystrophy-dystroglycanopathy type A1,"['butter', 'clove garlic', 'hot sauce']","['cold water', 'lemon juice from', 'water']","['high fiber', 'high protein']","['high carbohydrate', 'low calcium', 'low potassium']"
male urethral cancer,"['brown sugar', 'butter', 'red wine vinegar']","['egg', 'salt']","['high iron', 'high potassium', 'low sodium']","['high calories', 'low fiber', 'low vitamin c']"
endosalpingiosis,"['onions', 'pepper']","['brownie mix', 'pecan halves']","['high magnesium', 'high potassium', 'low sodium']","['high calories', 'low calcium', 'low vitamin c']"
developmental and epileptic encephalopathy 79,"['cream of mushroom soup', 'velveeta cheese']","['dressing', 'mixed vegetables']","['high iron', 'low carbohydrate']","['low calcium', 'low vitamin c']"
hypogonadotropic hypogonadism 9 with or without anosmia,"['butter', 'mushrooms']","['bread crumbs', 'cornmeal']","['high magnesium', 'low total fats']","['high carbohydrate', 'high sodium']"
spinocerebellar ataxia type 36,"['cheddar cheese', 'salt']","['black pepper', 'boiling water', 'elbow macaroni']","['high magnesium', 'low total fats']","['high carbohydrate', 'high cholesterol', 'low potassium']"
oligoasthenoteratozoospermia,"['italian seasoning mix', 'sour cream']","['molasses', 'sour milk']","['high fiber', 'low sodium']","['high carbohydrate', 'low potassium', 'low vitamin c']"
neuronal intestinal dysplasia type B,"['ground pork', 'pepper']","['ground mustard', 'salt']","['high calcium', 'high vitamin c', 'low carbohydrate']","['high total fats', 'low iron']"
neonatal jaundice,"['beer', 'egg']","['cornstarch', 'frozen raspberries', 'water']","['high potassium', 'low carbohydrate', 'low cholesterol']","['high calories', 'high sodium', 'high total fats']"
"diffuse astrocytoma, MYB- or MYBL1-altered","['onion', 'pork tenderloin']","['celery', 'pepper', 'salt']","['high fiber', 'high potassium', 'low carbohydrate']","['high total fats', 'low magnesium']"
endometrial stromal nodule,"['butter', 'cream of chicken soup', 'onion']","['chicken breast', 'hot sauce']","['high fiber', 'low sodium']","['high carbohydrate', 'low potassium']"
cellular phase chronic idiopathic myelofibrosis,"['cream of mushroom soup', 'golden mushroom soup', 'onion soup']","['bread', 'salt', 'velveeta']","['high vitamin c', 'low calories']","['high carbohydrate', 'low protein']"
severe congenital encephalopathy due to MECP2 mutation,"['milk', 'potatoes', 'salt']","['salt', 'sour cream']","['low cholesterol', 'low total fats']","['high sodium', 'low calcium', 'low potassium']"
trimethylaminuria,"['elbow macaroni', 'italian seasoning', 'onion powder']","['egg', 'oil', 'salt']","['high protein', 'low sodium']","['low magnesium', 'low vitamin c']"
ethmoidal sinus benign neoplasm,"['cream cheese', 'garlic powder', 'green onions']","['cream cheese', 'green chilies', 'green onions']","['high fiber', 'high iron', 'low sodium']","['low calcium', 'low protein', 'low vitamin c']"
juvenile myoclonic epilepsy,"['beef brisket', 'garlic', 'mustard']","['cabbage', 'red bell peppers', 'sugar']","['high potassium', 'low cholesterol']","['high calories', 'high carbohydrate', 'low calcium']"
perianal hematoma,"['cornstarch', 'onion soup']","['onion', 'potatoes']","['high potassium', 'low calories', 'low carbohydrate']","['low iron', 'low magnesium']"
punctate palmoplantar keratoderma type III,"['broccoli florets', 'butter']","['brown sugar', 'milk', 'vinegar']","['high iron', 'high magnesium']","['high calories', 'low protein']"
vulvar inverted follicular keratosis,"['onion', 'salt']","['bacon', 'chicken breasts', 'thin slices ham']","['high fiber', 'high potassium', 'low cholesterol']","['high calories', 'low protein']"
extrahepatic bile duct lipoma,"['miracle', 'tomato slice']","['potatoes', 'tomato soup']","['high fiber', 'high iron', 'low calories']","['high sodium', 'low potassium', 'low vitamin c']"
congenital fibrosarcoma,"['cabbage', 'chicken breasts', 'pepper']","['mushrooms', 'paprika', 'water']","['high magnesium', 'high potassium']","['low calcium', 'low vitamin c']"
granular corneal dystrophy,"['chicken', 'cornflake crumbs', 'garlic']","['brown sugar', 'green pepper']","['low cholesterol', 'low sodium']","['high carbohydrate', 'high total fats', 'low protein']"
polycystic kidney disease 6,"['celery', 'rice']","['cabbage', 'green onion', 'salt']","['high iron', 'high protein', 'low total fats']","['high calories', 'high cholesterol', 'low magnesium']"
intestinal volvulus,"['sour cream', 'water']","['pineapple juice', 'strawberry jell-o']","['high calcium', 'low sodium']","['high calories', 'low iron']"
cerebral hemisphere lipoma,"['bacon bits', 'eggs', 'green onions']","['mushrooms', 'water']","['low calories', 'low carbohydrate']","['low iron', 'low protein', 'low vitamin c']"
spermatogenic failure 82,"['salt', 'tomatoes']","['celery', 'salt', 'sugar']","['low calories', 'low sodium']","['high cholesterol', 'high total fats', 'low potassium']"
lupus nephritis,"['oregano', 'tomato sauce']","['onions', 'salt', 'tomatoes']","['high vitamin c', 'low carbohydrate']","['high calories', 'high sodium', 'low protein']"
orofacial cleft 15,"['lemon juice', 'parsley', 'vegetable oil']","['chicken pieces', 'hickory seasoning']","['low calories', 'low sodium', 'low total fats']","['low magnesium', 'low potassium', 'low protein']"
cardiac sarcoidosis,"['cheddar cheese', 'eggs', 'milk']","['lasagna noodles', 'mozzarella cheese', 'ricotta']","['high potassium', 'high protein', 'low total fats']","['high calories', 'high sodium', 'low calcium']"
breast large cell neuroendocrine carcinoma,"['clove garlic', 'parmesan cheese', 'romaine lettuce']","['lemon juice', 'orange juice']","['low calories', 'low carbohydrate', 'low total fats']","['high cholesterol', 'high sodium', 'low magnesium']"
gallbladder melanoma,"['cheddar cheese', 'vegetable oil']","['freshly ground black pepper', 'garlic']","['high iron', 'low cholesterol', 'low sodium']","['high carbohydrate', 'high total fats']"
dyskeratosis congenita,"['mushrooms', 'onions', 'water']","['corn bread', 'frozen mixed vegetables']","['high magnesium', 'low calories', 'low carbohydrate']","['high cholesterol', 'high sodium', 'low fiber']"
Achard syndrome,"['cottage cheese', 'eggs', 'mushroom soup']","['bread crumbs', 'eggs', 'hamburger']","['high fiber', 'high iron', 'low cholesterol']","['high calories', 'low magnesium', 'low potassium']"
developmental and epileptic encephalopathy 98,"['green beans', 'pimento', 'yellow beans']","['angel', 'oranges']","['high magnesium', 'low sodium']","['high carbohydrate', 'low fiber', 'low iron']"
spondyloepimetaphyseal dysplasia with joint laxity type 3,"['cloves', 'soda']","['cube steak', 'mushroom soup']","['high protein', 'low calories', 'low carbohydrate']","['low calcium', 'low iron', 'low potassium']"
cyclic hematopoiesis,"['chicken', 'milk']","['bay leaves', 'salt', 'stew beef']","['high vitamin c', 'low carbohydrate']","['high sodium', 'low calcium']"
intracranial chondrosarcoma,"['steak', 'wide noodles']","['butter', 'oscar mayer', 'velveeta']","['high calcium', 'high vitamin c', 'low carbohydrate']","['high cholesterol', 'high sodium']"
parathyroid adenoma,"['cream of mushroom soup', 'water']","['onion', 'salt']","['high calcium', 'low cholesterol']","['high carbohydrate', 'low fiber']"
autosomal-mitochondrial sensorineural deafness,"['flour', 'paprika']","['mozzarella cheese', 'oregano', 'parmesan cheese']","['high calcium', 'high iron', 'high protein']","['high cholesterol', 'low magnesium']"
posterior fossa group A ependymoma,"['celery', 'cheddar cheese soup', 'salt']","['salt', 'sugar']","['high protein', 'low cholesterol', 'low total fats']","['high calories', 'low fiber', 'low magnesium']"
retinal hemangioblastoma,"['cloves', 'inches', 'mint leaves']","['basil', 'chicken broth', 'white wine']","['high calcium', 'low cholesterol', 'low total fats']","['high sodium', 'low protein', 'low vitamin c']"
lung small cell carcinoma,"['onions', 'tart apples', 'vinegar']","['onions', 'tomatoes']","['high calcium', 'high protein']","['high carbohydrate', 'high total fats', 'low potassium']"
gestational diabetes insipidus,"['milk', 'pepper']","['garbanzo beans', 'tomatoes', 'water']","['low cholesterol', 'low sodium']","['high total fats', 'low magnesium', 'low protein']"
jejunal neoplasm,"['garlic powder', 'salt']","['oregano', 'sausage']","['high calcium', 'low total fats']","['high cholesterol', 'low protein']"
cone-rod dystrophy 10,"['ketchup', 'onion', 'vinegar']","['butter', 'chicken bouillon', 'salt']","['high calcium', 'high potassium']","['high sodium', 'low protein']"
salivary gland disease,"['butter', 'white onions']","['garlic', 'salt', 'tomatoes']","['high calcium', 'low carbohydrate']","['high calories', 'high total fats', 'low vitamin c']"
growth hormone insensitivity syndrome with immune dysregulation 2,"['chicken', 'garlic', 'soy sauce']","['beef', 'elbow macaroni']","['high iron', 'high potassium', 'low cholesterol']","['high calories', 'high sodium', 'low calcium']"
hemophilia B,"['potatoes', 'water']","['corn tortillas', 'garlic salt', 'onion']","['high magnesium', 'low calories', 'low total fats']","['high carbohydrate', 'high cholesterol', 'low vitamin c']"
autosomal recessive congenital ichthyosis 5,"['celery', 'oil', 'water']","['banana', 'frozen strawberries']","['high magnesium', 'high potassium', 'low total fats']","['high cholesterol', 'low fiber', 'low protein']"
Wernicke encephalopathy,"['cheddar', 'salt']","['salt', 'white bread']","['high fiber', 'high magnesium', 'low carbohydrate']","['high cholesterol', 'low iron', 'low protein']"
physiological polycythemia,"['boneless beef shoulder steak', 'parsley', 'thyme']","['mayonnaise', 'onion']","['high potassium', 'low carbohydrate', 'low cholesterol']","['low iron', 'low vitamin c']"
retinitis,"['cinnamon', 'watermelon rind']","['celery', 'frozen green peas', 'head lettuce']","['high vitamin c', 'low cholesterol']","['high total fats', 'low iron', 'low potassium']"
chronic conjunctivitis,"['breadcrumbs', 'milk', 'pepper']","['cottage cheese', 'pecans']","['high protein', 'low total fats']","['high cholesterol', 'low iron', 'low vitamin c']"
spermatogenic failure 81,"['chicken breasts', 'cream of chicken soup']","['clam juice', 'oregano']","['high potassium', 'high vitamin c', 'low carbohydrate']","['high total fats', 'low fiber', 'low iron']"
cone-rod dystrophy 11,"['onion', 'potatoes']","['scallions', 'sherry', 'sugar']","['low calories', 'low total fats']","['high cholesterol', 'low fiber', 'low magnesium']"
blackwater fever,"['carrots', 'fryer', 'water']","['paprika', 'sugar']","['low calories', 'low total fats']","['high sodium', 'low magnesium', 'low potassium']"
hereditary spastic paraplegia 61,"['bay leaf', 'parsley']","['cheddar', 'dry mustard', 'onion juice']","['high iron', 'high protein']","['high calories', 'low fiber', 'low vitamin c']"
grade III lymphomatoid granulomatosis,"['chicken breasts', 'parmesan cheese']","['garlic', 'hominy']","['high iron', 'low total fats']","['high carbohydrate', 'low vitamin c']"
generalized epilepsy with febrile seizures plus 8,"['cereal', 'fiber', 'morsels']","['condensed cream', 'sour cream']","['high protein', 'low calories', 'low total fats']","['high carbohydrate', 'high cholesterol', 'low vitamin c']"
hereditary spherocytosis type 2,"['baking powder', 'sugar']","['egg', 'flour', 'green chili']","['high calcium', 'high iron', 'high magnesium']","['high total fats', 'low protein', 'low vitamin c']"
immunodeficiency 109,"['carrots', 'salad oil']","['butter', 'pepper']","['high protein', 'low cholesterol']","['high sodium', 'low vitamin c']"
atypical hemolytic-uremic syndrome,"['margarine', 'sour cream']","['celery', 'oleo', 'sugar']","['high magnesium', 'low sodium']","['high cholesterol', 'high total fats']"
lacrimal duct cancer,"['carrots', 'parsley']","['sage', 'salt']","['high calcium', 'low sodium']","['high calories', 'high cholesterol', 'low potassium']"
spontaneous tension pneumothorax,"['fresh ginger root', 'water chestnuts']","['chilli sauce', 'onion']","['low cholesterol', 'low total fats']","['high sodium', 'low potassium']"
cranial nerve disease,"['ground beef', 'shells']","['cornstarch', 'paprika']","['high protein', 'low calories', 'low carbohydrate']","['high cholesterol', 'high sodium', 'high total fats']"
adult infiltrating astrocytic neoplasm,"['bread crumbs', 'prepared mustard']","['flank steak', 'italian dressing', 'soy sauce']","['high calcium', 'high magnesium', 'high vitamin c']","['high calories', 'high cholesterol']"
pelvic muscle wasting,"['green pepper', 'milk']","['hamburger', 'mozzarella cheese', 'taco seasoning']","['high fiber', 'high magnesium', 'high vitamin c']","['high total fats', 'low calcium', 'low potassium']"
hereditary spastic paraplegia,"['cheddar cheese', 'cream of mushroom', 'margarine']","['fresh lump crab meat', 'water']","['high magnesium', 'low carbohydrate', 'low total fats']","['high calories', 'low calcium']"
rhizomelic chondrodysplasia punctata type 5,"['cream of chicken soup', 'oleo', 'shredded cheese']","['mcbutter', 'sour cream']","['high magnesium', 'low carbohydrate']","['high cholesterol', 'low fiber', 'low potassium']"
vulva basal cell carcinoma,"['brownie mix', 'eggs']","['green chili peppers', 'oregano']","['high iron', 'high magnesium']","['high sodium', 'low potassium', 'low vitamin c']"
autosomal recessive limb-girdle muscular dystrophy type 2I,"['pepper', 'rosemary']","['celery', 'green onion']","['high vitamin c', 'low carbohydrate']","['high cholesterol', 'low magnesium']"
early infantile epileptic encephalopathy,"['mushrooms', 'oil']","['cucumber', 'green onions', 'salad supreme']","['high fiber', 'high iron', 'high protein']","['high cholesterol', 'low potassium']"
infantile myofibromatosis,"['hominy', 'milk']","['mozzarella cheese', 'noodles', 'onion']","['high calcium', 'high iron', 'low cholesterol']","['high carbohydrate', 'low protein', 'low vitamin c']"
thyroid hormone resistance syndrome,"['chicken gravy', 'onion']","['oil', 'red pepper', 'sour cream']","['high fiber', 'high protein']","['low iron', 'low magnesium', 'low potassium']"
"46,XX sex reversal 2","['green pepper', 'shredded cheese']","['boiling water', 'egg', 'instant stuffing mix']","['high iron', 'high potassium', 'low calories']","['high cholesterol', 'low magnesium']"
peroxisome biogenesis disorder 4A,"['green pepper', 'seashell noodles', 'spaghetti sauce']","['cooking oil', 'cream of mushroom soup', 'flour']","['high calcium', 'high vitamin c']","['high cholesterol', 'high total fats']"
3p deletion syndrome,"['apricots', 'pineapple']","['glutamate', 'water']","['high calcium', 'high potassium', 'low total fats']","['high carbohydrate', 'low iron']"
malignant peritoneal solitary fibrous tumor,"['egg', 'sugar']","['butter', 'crab meat', 'salt']","['high potassium', 'low carbohydrate']","['high calories', 'low iron']"
myositis ossificans,"['crackers', 'flour']","['bread crumbs', 'olive oil']","['low calories', 'low carbohydrate', 'low sodium']","['high total fats', 'low calcium', 'low iron']"
Charcot-Marie-Tooth disease type 2,"['celery stalks', 'cream']","['celery', 'slivered almonds']","['high magnesium', 'low sodium']","['low fiber', 'low protein']"
autosomal recessive intellectual developmental disorder 39,"['golden mushroom soup', 'onion soup']","['cream of mushroom soup', 'onion', 'potatoes']","['high iron', 'high vitamin c', 'low cholesterol']","['high sodium', 'low protein']"
congenital hereditary endothelial dystrophy of cornea,"['salt', 'sour cream', 'vinegar']","['sugar', 'tomatoes']","['high potassium', 'high vitamin c']","['high cholesterol', 'low iron', 'low magnesium']"
rectal lipoma,"['garlic', 'olive oil', 'red onion']","['pork chops', 'salt']","['high vitamin c', 'low calories', 'low cholesterol']","['high total fats', 'low iron']"
pontocerebellar hypoplasia type 3,"['kitchen', 'soda']","['cream cheese', 'red jello']","['low cholesterol', 'low sodium']","['high calories', 'high carbohydrate', 'low vitamin c']"
early-onset epilepsy 3,"['cheddar', 'garlic', 'grated monterey']","['cloves', 'ground', 'meat']","['high fiber', 'high magnesium']","['high carbohydrate', 'high sodium', 'low vitamin c']"
adult T-cell leukemia/lymphoma,"['green pepper', 'onion', 'salt']","['cabbage', 'salt']","['high fiber', 'high magnesium', 'low total fats']","['high calories', 'low vitamin c']"
congenital myopathy 18,"['beans', 'macaroni', 'sausage']","['cornflakes', 'sugar']","['high vitamin c', 'low carbohydrate']","['low fiber', 'low magnesium', 'low protein']"
X-linked chondrodysplasia punctata 2,"['butter', 'salt', 'sherry']","['bell pepper', 'cheese', 'ground beef']","['high magnesium', 'low calories', 'low cholesterol']","['low potassium', 'low protein']"
hyaline fibromatosis syndrome,"['onions', 'oregano']","['celery', 'mushroom soup', 'soy sauce']","['high vitamin c', 'low calories', 'low carbohydrate']","['high cholesterol', 'low potassium', 'low protein']"
benign hypertensive renal disease,"['cucumber', 'olive oil', 'tomatoes']","['caesar croutons', 'milk', 'onion']","['high fiber', 'high protein', 'high vitamin c']","['high carbohydrate', 'low iron', 'low magnesium']"
lymph node palisaded myofibroblastoma,"['dill pickles', 'egg', 'flour']","['chicken', 'paprika', 'salt']","['high fiber', 'high magnesium', 'low total fats']","['high calories', 'low potassium']"
parasitic ectoparasitic infectious disease,"['eggs', 'powdered sugar', 'salt']","['flour', 'salt', 'sugar']","['high vitamin c', 'low cholesterol']","['high carbohydrate', 'low magnesium', 'low protein']"
myositis fibrosa,"['maple', 'orange marmalade']","['cooking bag', 'flour']","['high iron', 'high protein', 'low carbohydrate']","['high calories', 'low fiber', 'low vitamin c']"
McCune Albright syndrome,"['baking powder', 'flour', 'sugar']","['chopped ripe olives', 'flour']","['low calories', 'low sodium', 'low total fats']","['low fiber', 'low protein', 'low vitamin c']"
choriocarcinoma,"['onion', 'pimento']","['black olives', 'tomatoes']","['high protein', 'low calories', 'low sodium']","['high total fats', 'low fiber']"
periductal breast myoepitheliosis,"['brown seasoning', 'milk']","['beef bouillon', 'margarine', 'mushroom']","['high protein', 'high vitamin c', 'low sodium']","['low calcium', 'low iron']"
autosomal recessive intellectual developmental disorder 2,"['shredded coconut', 'sour cream']","['fresh basil', 'marjoram', 'rice']","['high calcium', 'high iron', 'high magnesium']","['high calories', 'low fiber', 'low protein']"
retinitis pigmentosa 48,"['parmesan cheese', 'salt']","['flour', 'water']","['high calcium', 'low sodium']","['high total fats', 'low fiber']"
pancreatic serous cystic neoplasm,"['red grapes', 'red wine vinegar']","['butter', 'medium wide noodles', 'salt']","['high calcium', 'low calories', 'low total fats']","['high carbohydrate', 'low fiber', 'low iron']"
hypophosphatemia,"['chicken breasts', 'chicken broth', 'cream of chicken soup']","['sweet peas', 'tarragon vinegar']","['high protein', 'low sodium', 'low total fats']","['high cholesterol', 'low magnesium', 'low vitamin c']"
post-cardiac arrest syndrome,"['green pepper', 'parsley', 'water']","['chicken breasts', 'chicken broth']","['high protein', 'low total fats']","['high calories', 'high cholesterol', 'low vitamin c']"
Heimler syndrome 1,"['ground beef', 'sausage']","['pork chops', 'tomato soup']","['high calcium', 'high fiber', 'low calories']","['high carbohydrate', 'low magnesium']"
Larsen-like syndrome B3GAT3 type,"['anisette', 'baking powder', 'flour']","['chunky salsa', 'ground beef', 'sweet corn']","['high calcium', 'high magnesium']","['high cholesterol', 'high sodium']"
autosomal recessive limb-girdle muscular dystrophy type 2U,"['green onion', 'green pepper']","['cream of mushroom soup', 'doritos']","['high calcium', 'low calories']","['high cholesterol', 'low vitamin c']"
contagious pustular dermatitis,"['frozen lemonade', 'lemon juice', 'milk']","['onion', 'salt', 'tomatoes']","['high magnesium', 'low calories']","['low calcium', 'low protein']"
pycnodysostosis,"['onion powder', 'vegetable oil']","['bean sprouts', 'eggs', 'red onion']","['high magnesium', 'high protein', 'low cholesterol']","['high total fats', 'low calcium', 'low potassium']"
